DATE,CSCICP03USM665S
1976-03-01,99.6404328084768
1976-04-01,99.6930492302274
1976-05-01,99.86402729942
1976-06-01,100.082988429321
1976-07-01,100.240635969531
1976-08-01,100.250528910552
1976-09-01,100.172169176733
1976-10-01,100.082673677328
1976-11-01,100.036699032394
1976-12-01,100.03750206427
1977-01-01,100.087300923849
1977-02-01,100.190858541357
1977-03-01,100.310070248106
1977-04-01,100.396387093572
1977-05-01,100.40758507454
1977-06-01,100.357429224229
1977-07-01,100.251837850016
1977-08-01,100.086400602458
1977-09-01,99.8993320681984
1977-10-01,99.7351308563222
1977-11-01,99.6298699700929
1977-12-01,99.5736198576223
1978-01-01,99.5367526261516
1978-02-01,99.4472354825742
1978-03-01,99.2932951915295
1978-04-01,99.2918918909285
1978-05-01,99.3188898901412
1978-06-01,99.2789254396888
1978-07-01,99.2494815212517
1978-08-01,99.139228383706
1978-09-01,99.0332941493529
1978-10-01,98.777140138478
1978-11-01,98.345684010197
1978-12-01,97.9546998747597
1979-01-01,97.9264182728697
1979-02-01,97.9093196772261
1979-03-01,97.6959828138934
1979-04-01,97.4770532737892
1979-05-01,97.3308108831606
1979-06-01,97.1262725558954
1979-07-01,96.9457830359691
1979-08-01,96.9868859822425
1979-09-01,97.0322034408561
1979-10-01,96.9478701572672
1979-11-01,96.9277239147806
1979-12-01,96.9723043332013
1980-01-01,97.0669124552175
1980-02-01,96.8343630855128
1980-03-01,96.2299433882299
1980-04-01,95.7608028113511
1980-05-01,95.7217904702147
1980-06-01,96.1645368020562
1980-07-01,96.804871453898
1980-08-01,97.5012381234348
1980-09-01,98.088099938881
1980-10-01,98.3375450556666
1980-11-01,98.2146293417711
1980-12-01,97.7990040501582
1981-01-01,97.6315421031909
1981-02-01,97.5245110546341
1981-03-01,97.6370367640242
1981-04-01,97.9899594056159
1981-05-01,98.3006699776933
1981-06-01,98.4065949351338
1981-07-01,98.4677039849933
1981-08-01,98.4394828786761
1981-09-01,98.143418815322
1981-10-01,97.7031643531881
1981-11-01,97.3010642146922
1981-12-01,97.2499452794549
1982-01-01,97.3687799874709
1982-02-01,97.270675290191
1982-03-01,97.1257207792588
1982-04-01,97.1669183441805
1982-05-01,97.2429616436468
1982-06-01,97.2376191269745
1982-07-01,97.2568796411339
1982-08-01,97.3974249315768
1982-09-01,97.6878907921034
1982-10-01,97.9483217744194
1982-11-01,98.0129236952711
1982-12-01,98.0091699124417
1983-01-01,98.1221266146788
1983-02-01,98.5718877138744
1983-03-01,99.3032264629572
1983-04-01,100.088531060334
1983-05-01,100.612351510937
1983-06-01,100.778328990793
1983-07-01,100.73807210006
1983-08-01,100.580425484599
1983-09-01,100.45068339865
1983-10-01,100.458206859133
1983-11-01,100.674571278343
1983-12-01,101.047086331521
1984-01-01,101.41930155349
1984-02-01,101.566434090539
1984-03-01,101.599560752612
1984-04-01,101.463180452494
1984-05-01,101.375827575424
1984-06-01,101.321639458303
1984-07-01,101.400898173259
1984-08-01,101.542073066327
1984-09-01,101.567315941064
1984-10-01,101.380272298599
1984-11-01,101.177708478736
1984-12-01,101.03122081749
1985-01-01,101.010842794997
1985-02-01,100.963068227672
1985-03-01,100.939172095763
1985-04-01,100.940317868214
1985-05-01,100.941453634571
1985-06-01,101.008601340453
1985-07-01,100.929256552105
1985-08-01,100.763734680775
1985-09-01,100.595529637946
1985-10-01,100.48628458147
1985-11-01,100.604518622424
1985-12-01,100.847972404574
1986-01-01,101.054360196535
1986-02-01,101.152699469362
1986-03-01,101.18063367511
1986-04-01,101.225571309981
1986-05-01,101.291476145975
1986-06-01,101.398683494595
1986-07-01,101.333763136304
1986-08-01,101.134487011519
1986-09-01,100.944198453704
1986-10-01,100.842623845067
1986-11-01,100.64137781463
1986-12-01,100.472437323885
1987-01-01,100.436690993592
1987-02-01,100.470212352054
1987-03-01,100.551078954634
1987-04-01,100.639532134642
1987-05-01,100.676067072706
1987-06-01,100.756168523254
1987-07-01,100.870065305932
1987-08-01,100.875266636351
1987-09-01,100.67217314056
1987-10-01,100.290991641892
1987-11-01,99.9895530941615
1987-12-01,100.06863793137
1988-01-01,100.357529005307
1988-02-01,100.621826225356
1988-03-01,100.800933297541
1988-04-01,100.849036067078
1988-05-01,100.950778805927
1988-06-01,101.025740302221
1988-07-01,101.100431153103
1988-08-01,101.220172823104
1988-09-01,101.203334004047
1988-10-01,101.047966758028
1988-11-01,100.935485891146
1988-12-01,100.964933949141
1989-01-01,101.120708185696
1989-02-01,101.098358605875
1989-03-01,100.938380449047
1989-04-01,100.71957763559
1989-05-01,100.57428702515
1989-06-01,100.538716761004
1989-07-01,100.592961317904
1989-08-01,100.683412320897
1989-09-01,100.852746222975
1989-10-01,100.833646614284
1989-11-01,100.695355930179
1989-12-01,100.612745598745
1990-01-01,100.609823365164
1990-02-01,100.589705841846
1990-03-01,100.666526875132
1990-04-01,100.724974482245
1990-05-01,100.58033983385
1990-06-01,100.262215225382
1990-07-01,99.724867029725
1990-08-01,98.862693063214
1990-09-01,98.0344113359673
1990-10-01,97.3724194700853
1990-11-01,97.1373363952095
1990-12-01,97.2088035805078
1991-01-01,97.5969164613688
1991-02-01,98.30496002748
1991-03-01,99.1123687311877
1991-04-01,99.3404229530739
1991-05-01,99.3214243394178
1991-06-01,99.3942343061536
1991-07-01,99.4626920661628
1991-08-01,99.4228635848765
1991-09-01,99.199859382863
1991-10-01,98.6692280091925
1991-11-01,98.011554696697
1991-12-01,97.6245988053814
1992-01-01,97.5702981650487
1992-02-01,97.8432899586933
1992-03-01,98.3330952455615
1992-04-01,98.7221999567272
1992-05-01,98.9437296716006
1992-06-01,98.9502582506586
1992-07-01,98.7554670270649
1992-08-01,98.5855295715076
1992-09-01,98.573843993456
1992-10-01,98.8651731700943
1992-11-01,99.5615330977494
1992-12-01,100.128196472785
1993-01-01,100.27646620291
1993-02-01,100.147100415643
1993-03-01,99.9383321576762
1993-04-01,99.67993015837
1993-05-01,99.3498509704496
1993-06-01,99.093162633337
1993-07-01,98.8546732588631
1993-08-01,98.7935327122765
1993-09-01,98.9295469471074
1993-10-01,99.2437968877278
1993-11-01,99.6215808664689
1993-12-01,100.169818058585
1994-01-01,100.641872823643
1994-02-01,100.810478686131
1994-03-01,100.798409735209
1994-04-01,100.765120863648
1994-05-01,100.695106148232
1994-06-01,100.575941619891
1994-07-01,100.494618869766
1994-08-01,100.546158452354
1994-09-01,100.625424838493
1994-10-01,100.730891856537
1994-11-01,100.85905741557
1994-12-01,101.056889831259
1995-01-01,101.148908368246
1995-02-01,100.999931410827
1995-03-01,100.752044059077
1995-04-01,100.644588953156
1995-05-01,100.630400249471
1995-06-01,100.772766523744
1995-07-01,100.904314450929
1995-08-01,100.866266445354
1995-09-01,100.600603304057
1995-10-01,100.424982228203
1995-11-01,100.337760455681
1995-12-01,100.364689126182
1996-01-01,100.382946147218
1996-02-01,100.462671992725
1996-03-01,100.625002111494
1996-04-01,100.657065519078
1996-05-01,100.633945835899
1996-06-01,100.755023426417
1996-07-01,100.932833386601
1996-08-01,101.066771313145
1996-09-01,101.167950585756
1996-10-01,101.304221112554
1996-11-01,101.420033385515
1996-12-01,101.437037969517
1997-01-01,101.493578253149
1997-02-01,101.625018622233
1997-03-01,101.773001402824
1997-04-01,101.956673734587
1997-05-01,102.164183126185
1997-06-01,102.353237358059
1997-07-01,102.480465106673
1997-08-01,102.483434501863
1997-09-01,102.495570956666
1997-10-01,102.487882748358
1997-11-01,102.467375688852
1997-12-01,102.432103551704
1998-01-01,102.602226256813
1998-02-01,102.784150296016
1998-03-01,102.792581067581
1998-04-01,102.768657759349
1998-05-01,102.658304209502
1998-06-01,102.525660011942
1998-07-01,102.373926268991
1998-08-01,102.15957478103
1998-09-01,101.891444008152
1998-10-01,101.739814995527
1998-11-01,101.843961559912
1998-12-01,102.003198715919
1999-01-01,102.270186713831
1999-02-01,102.502186086458
1999-03-01,102.541490792259
1999-04-01,102.536125546353
1999-05-01,102.584714426927
1999-06-01,102.59709222257
1999-07-01,102.535223348843
1999-08-01,102.466621279257
1999-09-01,102.45514462978
1999-10-01,102.432207548552
1999-11-01,102.56356138913
1999-12-01,102.74585397873
2000-01-01,103.001653590631
2000-02-01,103.060286338737
2000-03-01,102.970559957102
2000-04-01,102.950014934551
2000-05-01,102.92195419268
2000-06-01,102.812336460221
2000-07-01,102.775228694789
2000-08-01,102.736567666376
2000-09-01,102.681297183955
2000-10-01,102.56043467064
2000-11-01,102.280544419492
2000-12-01,101.693005653582
2001-01-01,101.110772792982
2001-02-01,100.68524525081
2001-03-01,100.501600816813
2001-04-01,100.464785941226
2001-05-01,100.601595176696
2001-06-01,100.6895432488
2001-07-01,100.593795852266
2001-08-01,100.258178250815
2001-09-01,99.7746037830452
2001-10-01,99.6002564559628
