DATE,LFWA64TTUSM647S
1991-04-01,160969366.89589
1991-05-01,161131945.880501
1991-06-01,161193453.808256
1991-07-01,161191263.30649
1991-08-01,161399884.252676
1991-09-01,161513735.409818
1991-10-01,161643355.63662
1991-11-01,161823539.97678998
1991-12-01,162041492.045376
1992-01-01,161795317.14596298
1992-02-01,162035438.06912902
1992-03-01,162205525.003483
1992-04-01,162312541.82204902
1992-05-01,162464435.103322
1992-06-01,162369875.523164
1992-07-01,162410025.17691
1992-08-01,162804871.53885302
1992-09-01,163061347.39334598
1992-10-01,163268612.62107202
1992-11-01,163407830.862756
1992-12-01,163523242.76648
1993-01-01,163378491.879632
1993-02-01,163538845.601849
1993-03-01,163682502.496567
1993-04-01,163884445.011317
1993-05-01,164002196.250846
1993-06-01,163995733.24967498
1993-07-01,164135604.059639
1993-08-01,164344886.12437803
1993-09-01,164585176.545753
1993-10-01,164781016.87355798
1993-11-01,164823900.701724
1993-12-01,164976043.842486
1994-01-01,165042634.29871398
1994-02-01,165234849.959294
1994-03-01,165418263.256935
1994-04-01,165623029.595916
1994-05-01,165701938.561477
1994-06-01,165840592.948255
1994-07-01,165996987.387934
1994-08-01,166011165.796146
1994-09-01,166135199.18643498
1994-10-01,166210664.255003
1994-11-01,166228799.81891102
1994-12-01,166371226.476635
1995-01-01,166396271.682251
1995-02-01,166515450.04722902
1995-03-01,166670291.83699998
1995-04-01,166879885.070337
1995-05-01,166987731.027392
1995-06-01,167071520.871972
1995-07-01,167207538.094584
1995-08-01,167345796.792514
1995-09-01,167475279.756057
1995-10-01,167621141.56184798
1995-11-01,167794233.998258
1995-12-01,167978601.92889002
1996-01-01,167975194.870118
1996-02-01,168103353.608862
1996-03-01,168297696.966993
1996-04-01,168520405.32380798
1996-05-01,168628874.699569
1996-06-01,168765860.61484098
1996-07-01,168830510.73535597
1996-08-01,168998326.85907498
1996-09-01,169247811.02892
1996-10-01,169368148.856639
1996-11-01,169650877.04281598
1996-12-01,169843188.03716
1997-01-01,170327926.032973
1997-02-01,170455232.59236702
1997-03-01,170630689.748064
1997-04-01,170759131.49104
1997-05-01,170869082.835441
1997-06-01,171080340.05785
1997-07-01,171192250.97462702
1997-08-01,171332780.5433
1997-09-01,171519189.083945
1997-10-01,171678780.97754198
1997-11-01,171820887.229983
1997-12-01,172030605.77966702
1998-01-01,172105707.02584502
1998-02-01,172287989.618962
1998-03-01,172395143.766509
1998-04-01,172490943.03819102
1998-05-01,172713539.059837
1998-06-01,172922665.005129
1998-07-01,173112537.863445
1998-08-01,173288851.988478
1998-09-01,173441403.04640102
1998-10-01,173562193.949923
1998-11-01,173713751.369625
1998-12-01,173884369.142221
1999-01-01,174337456.165537
1999-02-01,174535358.429844
1999-03-01,174642127.312498
1999-04-01,174806361.19753698
1999-05-01,175016296.628991
1999-06-01,175264465.723436
1999-07-01,175444010.15222502
1999-08-01,175611624.86963
1999-09-01,175732081.464541
1999-10-01,175969043.15251198
1999-11-01,176049062.762739
1999-12-01,176180038.736848
2000-01-01,178195855.37113
2000-02-01,178254237.912451
2000-03-01,178367779.297028
2000-04-01,178511207.44384798
2000-05-01,178793553.65899
2000-06-01,179044816.187019
2000-07-01,179412826.514511
2000-08-01,179435817.435031
2000-09-01,179643462.146505
2000-10-01,179809247.777273
2000-11-01,179921973.809928
2000-12-01,180062425.66158402
2001-01-01,180319227.820335
2001-02-01,180484441.29617
2001-03-01,180581995.800804
2001-04-01,180849792.485001
2001-05-01,180994683.224379
2001-06-01,181382475.573462
2001-07-01,181578467.436904
2001-08-01,181895687.677042
2001-09-01,181972754.34014398
2001-10-01,182277686.300238
2001-11-01,182534729.041546
2001-12-01,182736098.533663
2002-01-01,182701323.442601
2002-02-01,182828993.42379
2002-03-01,183091779.464209
2002-04-01,183330468.447792
2002-05-01,183454049.563571
2002-06-01,183695723.953385
2002-07-01,183840703.070713
2002-08-01,184120794.32360002
2002-09-01,184238712.139285
2002-10-01,184452186.27
2002-11-01,184796773.366198
2002-12-01,184903998.122402
2003-01-01,185677492.56322598
2003-02-01,185822882.465156
2003-03-01,186145223.42902398
2003-04-01,186466201.76381302
2003-05-01,186727300.831111
2003-06-01,186913899.420018
2003-07-01,187192164.065917
2003-08-01,187405516.482486
2003-09-01,187573832.72006902
2003-10-01,187711408.24149498
2003-11-01,187902070.234239
2003-12-01,188013578.40379798
2004-01-01,187557379.442716
2004-02-01,187823751.427674
2004-03-01,188112352.735339
2004-04-01,188340729.067532
2004-05-01,188555151.197567
2004-06-01,188688997.90561002
2004-07-01,188795529.878889
2004-08-01,189022033.530614
2004-09-01,189270737.941843
2004-10-01,189484115.186803
2004-11-01,189654979.561704
2004-12-01,189862412.577537
2005-01-01,190041709.794583
2005-02-01,190225958.435783
2005-03-01,190431383.88971
2005-04-01,190505284.98093
2005-05-01,190682354.01136997
2005-06-01,190877896.043073
2005-07-01,191062686.04750398
